I,II,III,aVR,aVL,aVF,V1,V2,V3,V4,V5,V6
-0.2577908,-0.17001295,0.08369899,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.23211455,-0.19991541,0.08295894,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.14650154,-0.20495462,0.053251743,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.12143278,-0.19021106,0.0073053837,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.09314871,-0.16725469,-0.029613495,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.09913111,-0.15855551,-0.028272152,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.101564884,-0.1574533,-0.027584553,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.096616745,-0.15706897,-0.03407383,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.09740734,-0.15546703,-0.029998064,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.09665871,-0.15368247,-0.027516127,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.09803939,-0.1513524,-0.027511358,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.109022856,-0.14794779,-0.027496815,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.09762001,-0.14238143,-0.020695925,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.08503342,-0.121130705,-0.0149178505,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.074376106,-0.10872173,-0.021203756,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.064926624,-0.108495235,-0.023863792,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.021333694,-0.095911264,-0.027318478,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.014799118,-0.058973074,-0.023869038,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.064587116,-0.009387255,-0.0124127865,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.08387542,0.040280342,0.012399197,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.089502335,0.06599212,0.025053263,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.088867664,0.10232854,0.025619984,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.07695699,0.11469698,0.04338956,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.051877975,0.11371493,0.058613777,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.015044689,0.102318525,0.065211296,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.009842873,0.07750392,0.06671262,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.03466201,0.040264606,0.061519146,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.06554484,0.00308609,0.05697632,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.071199894,-0.009344816,0.0455842,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.080266476,-0.033832073,0.040015936,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.085178375,-0.045185328,0.04641056,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.089609146,-0.045688868,0.054436684,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.084845066,-0.03454256,0.05724144,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.078053,-0.03382802,0.05900526,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.08347297,-0.023736715,0.06224823,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.07964921,-0.021731138,0.06360769,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.07147288,-0.021400928,0.06267023,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.06006241,-0.011807919,0.0594697,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.046167374,-0.009454489,0.059003115,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.044597387,-0.010828257,0.047929764,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.04404831,-0.014727831,0.0461545,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.047416687,-0.021415234,0.035577774,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.04081893,-0.021958351,0.03486681,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.034423113,-0.025267124,0.022114277,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.023031235,-0.029675722,0.02211237,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.022238255,-0.029465914,0.0097157955,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.017438889,-0.024439573,0.009711504,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.015030861,-0.020010233,0.007825375,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.016963959,-0.0079603195,0.022127628,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.0067944527,0.015469313,0.04697132,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.0025849342,0.040296078,0.06635666,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.0033342838,0.077513695,0.09315348,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.027622938,0.11469126,0.121854305,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.052286386,0.13953876,0.10614395,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.040384054,0.123606205,0.074071884,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.0150363445,0.09027505,0.046927452,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.02217722,0.0278759,0.022155285,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.05832863,-0.011118412,0.021316767,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.06979799,-0.046565533,0.00970602,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.07659292,-0.07137942,-0.0026435852,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.07175803,-0.08378625,-0.0030932426,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.0717504,-0.09619355,-0.007788658,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.07158661,-0.0959363,-0.02029705,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.070222616,-0.096194744,-0.027470112,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.034581423,-0.10860276,-0.063794374,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.039734125,-0.120140314,-0.0764792,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.18717098,-0.045345306,-0.039975166,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.29535246,0.22932518,0.20710778,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.017075539,0.7963232,0.701244,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.1834414,0.91584754,0.6799722,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.20828104,0.17341089,0.1645813,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.13385844,-0.14466047,0.034483194,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.09640026,-0.1642847,-0.039920807,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.060574055,-0.17063785,-0.05906582,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.034584284,-0.122174025,-0.06411886,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.029886723,-0.10868502,-0.06271815,nan,nan,nan,nan,nan,nan,nan,nan,nan
