I,II,III,aVR,aVL,aVF,V1,V2,V3,V4,V5,V6
-0.004689932,-0.1022501,-0.06986976,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.00394845,-0.115866184,-0.07435894,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.004293442,-0.10795379,-0.07668376,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.019943476,-0.10633016,-0.08475685,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.026854753,-0.11643267,-0.08006883,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.021342993,-0.13056159,-0.070683956,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.014104128,-0.1267004,-0.06980944,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.008884668,-0.113083124,-0.07037544,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.00808692,-0.103001595,-0.07179022,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.004194975,-0.1058743,-0.083648205,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.0035748482,-0.108748674,-0.08713412,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.004048586,-0.11227703,-0.09164357,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.0078060627,-0.122578144,-0.101014376,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.0070102215,-0.14318585,-0.103824854,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.00096964836,-0.15465283,-0.10363245,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.007353306,-0.1485703,-0.09616065,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.013314486,-0.13832521,-0.09030819,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.020630598,-0.13741136,-0.085389376,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.024350405,-0.13165021,-0.08515048,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.025505066,-0.12547898,-0.079214334,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.020865202,-0.12179589,-0.06557131,nan,nan,nan,nan,nan,nan,nan,nan,nan
