I,II,III,aVR,aVL,aVF,V1,V2,V3,V4,V5,V6
-0.042743206,-0.104439974,-0.040345907,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.027486563,-0.123961926,-0.03437519,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.026125193,-0.106039524,-0.058222055,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.03637743,-0.12129235,-0.072609186,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.052582502,-0.14334607,-0.03438139,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.035084248,-0.11253047,-0.033250093,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.020295382,-0.106488705,-0.023459435,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.026743412,-0.14145732,-0.08551288,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.037822723,-0.15484333,-0.085879326,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.037483692,-0.14996123,-0.07221842,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.040573835,-0.14461684,-0.07139921,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.05261302,-0.13832688,-0.06459284,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.06366944,-0.1399548,-0.055602074,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.06689191,-0.14195132,-0.04553175,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.053740025,-0.14541388,-0.04418993,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.038522482,-0.14341474,-0.055010557,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.038052082,-0.13334489,-0.052297592,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.037200212,-0.12191129,-0.041523695,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.02585411,-0.10968995,-0.022536278,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.006484747,-0.10921264,-0.059081078,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.0037543774,-0.13797212,-0.09840441,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.0056345463,-0.16654587,-0.12344384,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.019628286,-0.17816257,-0.11909199,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.017083883,-0.16419578,-0.09640503,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.007407427,-0.14744496,-0.083506584,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.034755945,-0.13368535,-0.07267761,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.021270037,-0.14439654,-0.066485405,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.059526205,-0.15448976,-0.052297592,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.13918662,-0.17322469,-0.17675781,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.23069322,-0.23034883,-0.33603,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.28237474,-0.27833486,-0.5018985,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.15621877,-0.44743466,-0.7304845,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.11205268,-0.5339134,-0.6995053,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.071596384,-0.50159955,-0.56497526,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.014286041,-0.43048358,-0.39418006,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.040069103,-0.29543233,-0.1543634,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.061481953,-0.16870284,-0.05774355,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.07942033,-0.13007593,-0.016448975,nan,nan,nan,nan,nan,nan,nan,nan,nan
