I,II,III,aVR,aVL,aVF,V1,V2,V3,V4,V5,V6
-0.035935998,-0.084621996,-0.030075997,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.016936,-0.075622,-0.040076002,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.015935998,-0.109621994,-0.075076,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.041936,-0.073621996,-0.013076,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.043936,-0.054622002,0.007923998,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.015935998,-0.101622,-0.067076,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.015935998,-0.112622,-0.078076,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.023936,-0.108622,-0.066076,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.024936,-0.107622,-0.064076,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.024936,-0.100622,-0.057076,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.033936,-0.102621995,-0.051076002,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.039936,-0.10562199,-0.047076,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.051936,-0.108622,-0.038076,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.054936,-0.111622,-0.038076,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.031936,-0.100622,-0.050076,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.026936,-0.089622,-0.043076,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.022936,-0.076621994,-0.036076,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.032936,-0.059622,-0.008076001,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.014936,-0.089622,-0.056075998,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.0050639994,-0.119622,-0.105076,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.0020640008,-0.122622,-0.107076004,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.0009359997,-0.120621994,-0.10107601,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.015935998,-0.120621994,-0.08607601,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.003936,-0.099622,-0.076076,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.016064,-0.078622,-0.076076,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.040936,-0.14262201,-0.083076,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.058936,-0.103622,-0.026076004,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.095064,-0.152622,-0.229076,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.146064,-0.241622,-0.369076,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.267064,-0.271622,-0.519076,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.324064,-0.508622,-0.813076,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.134064,-0.523622,-0.639076,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.126064,-0.393622,-0.501076,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.072064,-0.287622,-0.342076,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.034936,-0.137622,-0.083076,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.033936,-0.086622,-0.034075998,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.066936,-0.091621995,-0.0060760006,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.067936,-0.103622,-0.018075999,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.083936,-0.057622,0.044924,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.092935994,-0.049622,0.061924,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.032936,-0.051622,-7.599965e-05,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.016936,-0.049622,-0.015076,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.053935997,-0.08362199,-0.011076,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.088936,-0.081622,0.025923999,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.035935998,-0.07262199,-0.019076,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.070935994,-0.071622,0.017924,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.101936,-0.060622,0.059924,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.040936,-0.045622002,0.013923999,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.072936,-0.044622,0.046924,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.029936,-0.051622,-0.002076,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.060936,-0.027622001,0.051923998,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.032936,-0.026622001,0.024923999,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.0009359997,-0.050622,-0.031076,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.072936,-0.021622,0.069924,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.010935999,-0.004622,0.024923999,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.043936,0.014378,0.076923996,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.044064004,0.056378,0.030924,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.134064,0.046377998,-0.070076,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.080064,0.037378,-0.024076,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.096064,0.065378,-0.012076002,nan,nan,nan,nan,nan,nan,nan,nan,nan
