I,II,III,aVR,aVL,aVF,V1,V2,V3,V4,V5,V6
-0.060232,-0.82032603,-0.577492,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.054231986,-0.80632603,-0.570492,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.04923199,-0.788326,-0.556492,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.050231993,-0.780326,-0.546492,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.044231996,-0.76932603,-0.541492,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.04123199,-0.75932604,-0.535492,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.038232,-0.75032604,-0.530492,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.03423199,-0.742326,-0.525492,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.031232,-0.734326,-0.521492,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.023231998,-0.723326,-0.518492,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.017232,-0.714326,-0.514492,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.011231989,-0.70432603,-0.510492,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.0052319914,-0.69532603,-0.507492,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.004231997,-0.688326,-0.501492,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.012768008,-0.663326,-0.49249202,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.04276801,-0.624326,-0.485492,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.07176801,-0.58832604,-0.47749197,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.077768005,-0.575326,-0.470492,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.072768,-0.577326,-0.46749198,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.073768005,-0.577326,-0.46849197,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.07576801,-0.575326,-0.46849197,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.065768,-0.584326,-0.46849197,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.037768006,-0.614326,-0.46849197,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.01376801,-0.641326,-0.47249198,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.010231987,-0.668326,-0.475492,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.036231995,-0.697326,-0.47849202,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.054231986,-0.719326,-0.48249203,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.06923199,-0.73232603,-0.48149198,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.07923199,-0.739326,-0.47749197,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.07723199,-0.735326,-0.475492,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.07223199,-0.72732604,-0.47249198,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.07023199,-0.721326,-0.46849197,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.06323199,-0.714326,-0.46749198,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.074232,-0.708326,-0.451492,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.088231996,-0.702326,-0.431492,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.08723199,-0.694326,-0.424492,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.08623199,-0.686326,-0.417492,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.08423199,-0.678326,-0.410492,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.08423199,-0.67132604,-0.404492,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.08423199,-0.664326,-0.397492,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.083232,-0.659326,-0.393492,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.081232,-0.65332603,-0.389492,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.07823199,-0.647326,-0.386492,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.07623199,-0.642326,-0.382492,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.075232,-0.637326,-0.378492,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.073231995,-0.631326,-0.375492,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.074232,-0.62532604,-0.369492,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.07623199,-0.621326,-0.362492,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.07623199,-0.614326,-0.355492,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.07623199,-0.60732603,-0.348492,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.075232,-0.601326,-0.343492,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.074232,-0.594326,-0.337492,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.074232,-0.58832604,-0.331492,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.073231995,-0.583326,-0.327492,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.07823199,-0.581326,-0.320492,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.07823199,-0.576326,-0.315492,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.081232,-0.57432604,-0.310492,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.082232,-0.569326,-0.304492,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.065231994,-0.544326,-0.296492,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.045231998,-0.520326,-0.292492,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.032231987,-0.49732602,-0.282492,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.031232,-0.49432603,-0.279492,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.0017680079,-0.48332602,-0.301492,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.02476801,-0.502326,-0.344492,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.0032319948,-0.525326,-0.339492,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.047231987,-0.532326,-0.303492,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.075232,-0.535326,-0.277492,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.073231995,-0.52332604,-0.267492,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.083232,-0.547326,-0.280492,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.081232,-0.50932604,-0.24549201,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.082232,-0.553326,-0.287492,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.043231994,-0.440326,-0.213492,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.12876801,-0.329326,-0.275492,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.377768,0.170674,-0.024492,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.406768,0.62467396,0.400508,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.039768003,-0.336326,-0.193492,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.237232,-0.99132603,-0.571492,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.18923199,-0.812326,-0.44049197,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.095231995,-0.651326,-0.373492,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.07123199,-0.531326,-0.277492,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.073231995,-0.541326,-0.285492,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.06423199,-0.504326,-0.258492,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.062231988,-0.50532603,-0.260492,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.053232,-0.48532602,-0.24949199,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.046232,-0.46932602,-0.24049199,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.047231987,-0.465326,-0.23649201,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.045231998,-0.44832602,-0.220492,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.043231994,-0.442326,-0.21549201,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.038232,-0.422326,-0.20149201,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.02623199,-0.405326,-0.19649199,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.004231997,-0.375326,-0.188492,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.008768007,-0.356326,-0.182492,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.012768008,-0.341326,-0.171492,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.022768006,-0.31832603,-0.158492,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.043768004,-0.28832603,-0.148492,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.066768005,-0.255326,-0.140492,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.08976801,-0.225326,-0.132492,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.09876801,-0.208326,-0.124492005,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.09376801,-0.206326,-0.117492005,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.08576801,-0.207326,-0.110492006,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.081768006,-0.206326,-0.105491996,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.07476801,-0.208326,-0.099492,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.047768004,-0.229326,-0.094492,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.02476801,-0.25432602,-0.09649201,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.010768004,-0.271326,-0.098492,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.014231995,-0.29532602,-0.098492,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.038232,-0.319326,-0.098492,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.04123199,-0.322326,-0.098492,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.035231993,-0.315326,-0.097491995,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.038232,-0.312326,-0.091492,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.038232,-0.306326,-0.085492,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.04123199,-0.303326,-0.079492,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.038232,-0.296326,-0.075491995,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.035231993,-0.283326,-0.065492004,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.04123199,-0.27232602,-0.048491996,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.040231988,-0.262326,-0.039492,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.037231997,-0.252326,-0.032491993,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.03323199,-0.24232599,-0.026491996,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.032231987,-0.232326,-0.017492,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.035231993,-0.222326,-0.004491996,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.036231995,-0.21232599,0.006508004,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.036231995,-0.202326,0.016508002,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.037231997,-0.193326,0.026508003,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.040231988,-0.186326,0.036508,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.045231998,-0.180326,0.047508,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.044231996,-0.166326,0.060508005,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.03423199,-0.144326,0.07250801,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.052231997,-0.13232599,0.103508,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.067232,-0.124326,0.126508,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.059231997,-0.115325995,0.127508,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.05623199,-0.108325996,0.130508,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.053232,-0.103326,0.133508,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.059231997,-0.09632599,0.145508,nan,nan,nan,nan,nan,nan,nan,nan,nan
