I,II,III,aVR,aVL,aVF,V1,V2,V3,V4,V5,V6
0.051205873,-0.0054192543,-0.010046482,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.064935684,-0.00356102,-0.014271975,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.094696045,0.011585236,0.0011532307,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.14583778,0.046878815,-0.001966238,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.1333046,0.07622886,-0.013695955,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.14788246,0.09028649,-0.012223482,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.18015051,0.099291325,-0.026771784,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.18235922,0.12230277,-0.026903868,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.1478424,0.13481164,-0.021668196,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.11336851,0.12318778,-0.0023107529,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.08794141,0.11209011,0.019548178,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.06370258,0.10103619,0.040310144,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.02276802,0.08332896,0.042464733,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.044121742,0.031456947,0.030488253,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.09751797,-0.04231286,0.021647453,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.080335855,-0.09266138,0.02014327,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.06547856,-0.08520293,0.017819643,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.05434227,-0.06769776,0.013718843,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.047129393,-0.056542635,0.010976315,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.06472778,-0.053246737,0.010468483,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.08049488,-0.059420347,0.009788275,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.0857141,-0.08447027,0.006861925,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.070094585,-0.104686975,0.0020897388,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.055155754,-0.08776021,-0.0024387836,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.05229616,-0.07747078,-0.0023052692,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.039079428,-0.07163,-0.0015776157,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.040957928,-0.058694363,0.0114581585,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.058196068,-0.036205053,0.017544985,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.08120823,-0.05718255,0.013521433,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.09097409,-0.087248325,0.0077106953,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.095201254,-0.10534358,0.0035755634,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.09058571,-0.117366314,-0.00044989586,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.08356547,-0.120782375,-0.007999659,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.0837698,-0.11160207,-0.01427722,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.09066033,-0.11556411,-0.019853354,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.09095621,-0.12818956,-0.018278837,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.088591814,-0.13789415,-0.017450571,nan,nan,nan,nan,nan,nan,nan,nan,nan
