I,II,III,aVR,aVL,aVF,V1,V2,V3,V4,V5,V6
0.049916,-0.0019030003,-0.060612004,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.099915996,0.026097,-0.083612,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.20091599,0.080097,-0.128612,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.202916,0.073097,-0.138612,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.183916,0.066097,-0.125612,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.177916,0.072097,-0.114612006,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.109916,0.053097,-0.065612,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.045916,0.041097,-0.013612002,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.009084,0.027097002,0.027387999,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.047084,0.012096999,0.050387997,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.068084,0.0080969995,0.066387996,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.088084,0.013096999,0.092388,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.092084,0.005097,0.088387996,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.097084,-0.002903,0.085388,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.104084,-0.010903001,0.08338799,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.103084,-0.014903001,0.078388,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.074084,0.018097,0.08338799,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.052084,0.037097,0.080387995,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.056084,0.023097,0.071388,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.058084,0.031096999,0.081388,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.055084,0.047097,0.093388,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.057084,0.038097,0.086388,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.062084,0.032097,0.085388,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.066084,0.024097,0.081388,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.073084,0.015097,0.079388,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.074084,0.019097,0.084387995,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.064084,0.030097,0.085388,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.054084,0.040097,0.085388,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.061084002,0.033097,0.085388,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.048084002,0.047097,0.085388,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.023084,0.070097,0.08338799,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.029084,0.060097,0.080387995,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.036084,0.053097,0.080387995,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.040084,0.049097,0.080387995,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.051084,0.037097,0.079388,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.039084002,0.050097,0.080387995,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.034084,0.057097003,0.082388,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.041084,0.048097,0.080387995,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.020084001,0.067097,0.078388,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.007084001,0.075097,0.073387995,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.021084,0.072097,0.084387995,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.032084003,0.074097,0.097388,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.030084,0.073097,0.09438799,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.026084,0.073097,0.090388,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.020084001,0.079097,0.089388,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.015084,0.076097,0.082388,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.014084,0.093097,0.098387994,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.018916,0.169097,0.141388,nan,nan,nan,nan,nan,nan,nan,nan,nan
