I,II,III,aVR,aVL,aVF,V1,V2,V3,V4,V5,V6
0.48768002,-0.07152899,-0.517952,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.48568,-0.07152899,-0.514952,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.48168,-0.07152899,-0.511952,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.47868,-0.075528994,-0.512952,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.47568002,-0.076528996,-0.511952,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.47068003,-0.076528996,-0.504952,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.46768,-0.07152899,-0.498952,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.46168002,-0.07152899,-0.491952,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.45668003,-0.070529,-0.485952,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.45668003,-0.065529,-0.480952,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.44468,-0.067529,-0.470952,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.43768,-0.063529,-0.459952,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.42668003,-0.061529,-0.446952,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.42968002,-0.061529,-0.448952,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.42468002,-0.058529,-0.441952,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.42068002,-0.055529,-0.434952,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.41568002,-0.058529,-0.432952,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.37968,-0.070529,-0.408952,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.40068,-0.072528996,-0.431952,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.41068003,-0.070529,-0.439952,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.39668003,-0.067529,-0.422952,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.39968002,-0.066529,-0.424952,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.39368,-0.065529,-0.417952,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.39468002,-0.059529,-0.411952,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.39468002,-0.053528998,-0.406952,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.40068,-0.049529,-0.408952,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.39568,-0.042528998,-0.396952,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.39068002,-0.037529,-0.385952,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.37368003,-0.050529,-0.382952,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.35068002,-0.057529,-0.367952,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.34368002,-0.056529,-0.357952,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.33668002,-0.055529,-0.351952,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.33368,-0.057529,-0.34995198,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.32768002,-0.054529,-0.340952,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.32268003,-0.054529,-0.33595198,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.32768002,-0.043529,-0.329952,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.33468002,-0.0075289994,-0.301952,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.33068,0.012471,-0.27595198,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.32068002,0.033471,-0.244952,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.33068,0.039471,-0.24995199,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.32168,0.041471,-0.23895201,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.30868003,0.050471,-0.21795201,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.33868003,0.021471001,-0.27595198,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.31668,-0.018529,-0.293952,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.26168,-0.055529,-0.274952,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.23868,-0.07152899,-0.269952,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.24668,-0.086528994,-0.290952,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.24168,-0.09352899,-0.293952,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.21868,-0.084529,-0.262952,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.22968,-0.08952899,-0.278952,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.20268,-0.073529,-0.234952,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.19568,-0.101528995,-0.254952,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.19468,-0.131529,-0.285952,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.22468,-0.070529,-0.253952,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.45168,0.374471,-0.036952004,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.55868,0.757471,0.24004799,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.27168,0.278471,0.048047997,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.011319999,-0.181529,-0.128952,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.061319996,-0.151529,-0.048952002,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.042319994,-0.086528994,-0.002952003,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.048680004,-0.042528998,-0.049952004,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.11768,-0.061529,-0.137952,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.14768,-0.067529,-0.17395201,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.17368001,-0.060529,-0.192952,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.16568,-0.061529,-0.18595201,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.17668,-0.053528998,-0.188952,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.17668,-0.053528998,-0.188952,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.17068,-0.045529,-0.174952,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.16068001,-0.037529,-0.156952,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.16668001,-0.026529,-0.15095201,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.17868,-0.016529,-0.153952,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.17768,-0.006528999,-0.14195201,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.17568001,0.0034710006,-0.130952,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.18068,0.013471,-0.125952,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.18768,0.023471,-0.122952,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.19568,0.040471,-0.113952,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.20968,0.069471,-0.098952,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.22268,0.096471004,-0.084952004,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.25068,0.13847099,-0.070952,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.27268,0.18147099,-0.050952002,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.28368002,0.220471,-0.021952003,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.29768002,0.263471,0.007047998,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.31168002,0.284471,0.015047997,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.29968,0.29547098,0.037047997,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.27868,0.290471,0.054047994,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.26468,0.268471,0.044047996,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.22968,0.229471,0.041047998,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.17768,0.169471,0.032048,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.12968001,0.107471004,0.019047998,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.094680004,0.058470998,0.0050479975,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.065680005,0.018471,-0.0049520023,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.034680005,-0.020529,-0.013952002,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.016680006,-0.047529,-0.021952003,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.012680005,-0.061529,-0.032952003,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.020680003,-0.068528995,-0.047952004,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.024680004,-0.066529,-0.049952004,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.020680003,-0.066529,-0.045952003,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.018680003,-0.066529,-0.043952003,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.014680006,-0.066529,-0.039952002,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.012680005,-0.066529,-0.037952002,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.012680005,-0.066529,-0.037952002,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.012680005,-0.066529,-0.037952002,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.012680005,-0.066529,-0.037952002,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.012680005,-0.066529,-0.037952002,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.011680003,-0.066529,-0.037952002,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.0076800026,-0.066529,-0.032952003,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.000319995,-0.066529,-0.025952004,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.006319996,-0.066529,-0.018952003,nan,nan,nan,nan,nan,nan,nan,nan,nan
