I,II,III,aVR,aVL,aVF,V1,V2,V3,V4,V5,V6
0.10862398,nan,0.12397528,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.2661817,nan,-0.0025513172,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.3801396,-0.7209234,-0.17260122,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.4400922,-0.52547336,-0.677444,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.25577748,-0.5447326,-0.74389863,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.022452116,-0.5474911,-0.69103575,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.17556667,-0.52021575,-0.3074937,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.23745847,-0.47420263,-0.1306119,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.2646258,-0.43599033,-0.09398174,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.27314425,-0.48098087,-0.07933092,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.2846477,-0.47626162,-0.073636055,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.27715707,-0.45152974,-0.06776667,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.27172542,-0.4416461,-0.064312935,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.26439452,-0.43032217,-0.06397033,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.26248765,-0.42788696,-0.059143543,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.25928688,-0.4201126,-0.06012726,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.24112725,-0.42197466,-0.06869221,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.23278785,-0.4194522,-0.0738101,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.23602319,-0.4104166,-0.07484126,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.23051691,-0.4072988,-0.07455659,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.22657037,-0.40421915,-0.06902599,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.22557187,-0.40334988,-0.06826162,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.22629523,-0.4012637,-0.07350588,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.23962903,-0.3955629,-0.076111555,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.2446835,-0.40851474,-0.07877183,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.23980641,-0.4271736,-0.085074425,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.22242498,-0.43988943,-0.094745636,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.19988322,-0.43581772,-0.11060572,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.1893804,-0.40742135,-0.10800123,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.1922152,-0.3917246,-0.09889746,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.16140485,-0.3796599,-0.08140898,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.13444734,-0.32972217,-0.054236412,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.11561561,-0.28125787,-0.037403584,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.1377418,-0.24886656,-0.022762775,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.15624118,-0.24261093,-0.0036597252,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.1711247,-0.2459476,0.014697075,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.17125297,-0.24882698,0.023649454,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.1684947,-0.24465132,0.020217896,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.15500402,-0.24198103,0.019670963,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.1294682,-0.23579216,0.0195961,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.103073835,-0.21408415,0.013931751,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.1312995,-0.19473815,0.01193285,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.17844653,-0.20122862,0.018370628,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.1938343,-0.23636675,0.045808792,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.18601727,-0.24344516,0.052987576,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.1700859,-0.23878026,0.047130108,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.1615212,-0.2375927,0.032779217,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.14852476,-0.23176312,0.029928207,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.13791752,-0.2191596,0.031146765,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.12225032,-0.21008873,0.028378487,nan,nan,nan,nan,nan,nan,nan,nan,nan
