I,II,III,aVR,aVL,aVF,V1,V2,V3,V4,V5,V6
-0.0038679997,-0.043024,-0.06154,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.0038679997,-0.046024,-0.06554,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.009868,-0.054024,-0.06654,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.0038679997,-0.052024,-0.070539996,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.005868,-0.054024,-0.070539996,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.0038679997,-0.052024,-0.070539996,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.007867999,-0.057024002,-0.070539996,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.020868,-0.069024,-0.070539996,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.005868,-0.064024,-0.08054,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.0071320003,-0.059024,-0.08854,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.010132,-0.056024,-0.08754,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.023132,-0.050024,-0.096540004,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.019132,-0.046024,-0.08754,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.033131998,-0.024023999,-0.07954,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.041132,0.005976,-0.05854,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.044131998,0.039976,-0.026540002,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.073132,0.078976,-0.016540002,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.079132,0.113976,0.012459999,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.081132,0.139976,0.03746,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.075132,0.15197599,0.05546,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.062132,0.153976,0.06846,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.057132,0.138976,0.05946,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.047132,0.117976,0.04846,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.027132,0.084976,0.03546,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.005868,0.036976,0.020459998,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.010868,0.021976,0.010459999,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.0038679997,0.021976,0.0034599993,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.011868,0.007976,-0.0025400007,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.015868,-0.0030239997,-0.009540001,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.017868001,-0.011023999,-0.016540002,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.026868,-0.027024,-0.022540001,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.030868001,-0.034024,-0.025540002,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.030868001,-0.034024,-0.025540002,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.035868,-0.039024,-0.025540002,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.033868,-0.037024,-0.025540002,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.030868001,-0.034024,-0.025540002,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.031868,-0.031023998,-0.021540001,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.030868001,-0.028024,-0.01954,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.031868,-0.026023999,-0.016540002,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.030868001,-0.022023998,-0.013540002,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.036868002,-0.026023999,-0.011540001,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.042868,-0.028024,-0.007540001,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.033868,-0.028024,-0.016540002,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.034868,-0.021024,-0.008540001,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.037868,-0.011023999,0.0044599986,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.026868,0.0029759998,0.007459998,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.016867999,0.024976,0.019459998,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.015868,0.027975999,0.02146,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.019868,0.026976,0.024459999,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.022868,0.025975998,0.02646,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.030868001,0.021976,0.03046,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.020868,0.021976,0.020459998,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.022868,0.019976001,0.020459998,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.045868002,0.015976,0.03946,nan,nan,nan,nan,nan,nan,nan,nan,nan
