I,II,III,aVR,aVL,aVF,V1,V2,V3,V4,V5,V6
0.07788396,-0.17013478,-0.49118495,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.07797098,-0.16132808,-0.23935437,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.07797098,-0.19701934,-0.25874662,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.07797217,-0.25914383,-0.59388614,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.23652792,-0.70223,-0.9071214,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.38950574,-1.1871269,-1.5,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.48640049,-1.1870794,-1.5,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.52995086,-1.0449238,-1.5,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.41228735,-0.84559274,-1.216913,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.3527199,-0.45858645,-0.96321845,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.25180078,-0.39070296,-0.3325646,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.039768696,-0.12534523,-0.040994406,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.043792963,0.049925327,0.08375597,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.08451414,0.074332476,0.16250038,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.08618021,0.090887666,0.17464828,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.08063626,0.09747231,0.17758417,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.08648658,0.07355261,0.18440402,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.098044395,0.06933093,0.18918276,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.111727715,0.06717467,0.1896671,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.118869305,0.07836056,0.19901633,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.10768914,0.09939957,0.20765102,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.10088253,0.12223053,0.2202059,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.09916687,0.15262508,0.24316156,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.08625078,0.18428564,0.26871347,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.08633113,0.2277602,0.31300008,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.07667136,0.2992487,0.36306524,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.0725863,0.35963726,0.42508066,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.08870649,0.44778323,0.5085007,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.070762634,0.5115956,0.58200574,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.052306652,0.5897472,0.6242603,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.027968884,0.6257849,0.6572559,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.0038554668,0.6002275,0.6123879,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.019720078,0.5650859,0.55891967,nan,nan,nan,nan,nan,nan,nan,nan,nan
