I,II,III,aVR,aVL,aVF,V1,V2,V3,V4,V5,V6
-0.037837982,0.26992857,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.04096341,0.2546767,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.037686825,0.23860359,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.059091568,0.22463834,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.0851264,0.21002305,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.078991175,0.19535935,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.08588219,0.18228471,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.088240385,0.17074645,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.09852791,0.16736114,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.105606556,0.15661132,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.114212275,0.14844728,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.11405611,0.1442715,0.25294483,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.114620686,0.14363801,0.24675417,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.11464667,0.14311957,0.25216067,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.11455488,0.14371812,0.2412014,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.11113262,0.150087,0.25095057,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.10331297,0.16070497,0.25336623,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.0799675,0.18072331,0.24291849,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.056647778,0.21460295,0.28359568,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.04251814,0.23168886,0.2614832,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.046622515,0.2078582,0.22743273,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.058081865,0.17266011,0.20622253,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.06940985,0.13372481,0.1784674,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.077682495,0.117241025,0.1686852,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.08682585,0.10505891,0.16098022,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.10053086,0.099277854,0.15800881,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.101056814,0.090640664,0.15991282,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.10894871,0.08696556,0.16957927,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.117385864,0.08281696,0.18607664,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.114780426,0.08187306,0.18415236,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.115867615,0.08159137,0.1723752,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.115299225,0.08393288,0.1742394,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.12132168,0.09128702,0.19407356,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.117346525,0.10190737,0.20838833,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.11418557,0.103262305,0.20121765,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.10999656,0.08987951,0.18880641,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.10578799,0.086441755,0.18167043,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.10151672,0.07896125,0.16708398,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.09812498,0.08054185,0.16509557,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.08490133,0.088813186,0.16370523,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.030558586,0.10013461,0.14617121,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.032705784,0.1421256,0.14784682,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.08753061,0.1671958,0.16429019,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.45032084,0.32897127,0.11309552,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.7941632,0.47888327,-0.033569098,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.8733982,0.5221342,-0.26090765,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.82430613,0.4643066,-0.43045664,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.76897836,0.36344945,-0.523756,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.7517146,0.12121582,-0.64710236,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.7397126,-0.07318294,-0.8531985,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.6772785,-0.26565516,-1.0549979,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.56221724,-0.3212167,-1.0246964,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.11882365,-0.22068489,-0.6848345,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.048805952,-0.15448654,-0.2951193,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.17085552,-0.050598264,0.07483864,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.19231725,0.03889668,0.21571803,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.21168375,0.06219375,0.2524091,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.22721624,0.062075377,0.27240098,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.24137092,0.054234028,0.28402114,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.24728918,0.048674107,0.2887249,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.23421001,0.04979956,0.29039752,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.21914864,0.059079647,0.28764963,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.21837425,0.075847745,0.2950691,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.227813,0.0876528,0.3036362,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.24032354,0.095401525,0.3182373,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.24533176,0.10495961,0.3419789,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.24962163,0.1252724,0.3649552,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.25650406,0.14678681,0.38768005,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.27120256,0.16143453,0.41806483,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.28274584,0.1768713,0.452942,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.2776866,0.19376278,0.47873223,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.26505184,0.21290886,0.48260045,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.24782848,0.22077572,0.4685793,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.22497416,0.23725188,0.46074092,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.16871858,0.25186753,0.43433714,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.122368336,0.2613381,0.39630103,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.07787514,0.26605082,0.3505714,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.024183273,0.26992214,0.30601645,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.019021988,0.2712736,0.26506972,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.03924513,0.25706446,0.218925,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.043575764,0.22388375,0.15954065,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.037368774,0.2045486,0.12679255,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.027602196,0.17052424,0.120337605,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.014076471,0.1554538,0.12536669,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.0019712448,0.15146208,0.1372813,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.013628006,0.14589822,0.15325892,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.02252531,0.14456809,0.15358186,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.029851437,0.138731,0.15093172,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.032456636,0.13091505,0.15176666,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.035350323,0.12776685,0.15613127,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.031644583,0.12925828,0.1602484,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.020477057,0.14032876,0.17977357,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.010880947,0.18313372,0.22315991,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.0055394173,0.21700633,0.22614872,nan,nan,nan,nan,nan,nan,nan,nan,nan
